,MSSubClass,MSZoning,LotArea,LotConfig,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,ExterCond,Foundation,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BedroomAbvGr,TotRmsAbvGrd,Functional,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
29,30,RM,6324,Inside,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,TA,BrkTil,0,0,520,520,GasA,Fa,520,0,0,520,1,4,Typ,1,240,49,0,87,0,0,0,0,5,2008,WD,Normal,68500
30,70,C (all),8500,Inside,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,Fa,BrkTil,0,0,649,649,GasA,TA,649,668,0,1317,3,6,Typ,1,250,0,54,172,0,0,0,0,7,2008,WD,Normal,40000
31,20,RL,8544,CulDSac,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,TA,CBlock,0,0,1228,1228,GasA,Gd,1228,0,0,1228,3,6,Typ,1,271,0,65,0,0,0,0,0,6,2008,WD,Normal,149350
32,20,RL,11049,Corner,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,TA,PConc,0,0,1234,1234,GasA,Ex,1234,0,0,1234,3,7,Typ,2,484,0,30,0,0,0,0,0,1,2008,WD,Normal,179900
33,20,RL,10552,Inside,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,TA,CBlock,1018,0,380,1398,GasA,Gd,1700,0,0,1700,4,6,Typ,2,447,0,38,0,0,0,0,0,4,2010,WD,Normal,165500
34,120,RL,7313,Inside,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,TA,PConc,1153,0,408,1561,GasA,Ex,1561,0,0,1561,2,6,Typ,2,556,203,47,0,0,0,0,0,8,2007,WD,Normal,277500
35,60,RL,13418,Inside,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,TA,PConc,0,0,1117,1117,GasA,Ex,1132,1320,0,2452,4,9,Typ,3,691,113,32,0,0,0,0,0,9,2006,WD,Normal,309000
36,20,RL,10859,Corner,CollgCr,Norm,Norm,1Fam,1Story,5,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,TA,PConc,0,0,1097,1097,GasA,Ex,1097,0,0,1097,3,6,Typ,2,672,392,64,0,0,0,0,0,6,2009,WD,Normal,145000
37,20,RL,8532,Inside,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,TA,CBlock,1213,0,84,1297,GasA,Gd,1297,0,0,1297,3,5,Typ,2,498,0,0,0,0,0,0,0,10,2009,WD,Normal,153000
38,20,RL,7922,Inside,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,Gd,CBlock,731,0,326,1057,GasA,TA,1057,0,0,1057,3,5,Typ,1,246,0,52,0,0,0,0,0,1,2010,WD,Abnorml,109000
39,90,RL,6040,Inside,Edwards,Norm,Norm,Duplex,1Story,4,5,1955,1955,Gable,CompShg,AsbShng,Plywood,TA,PConc,0,0,0,0,GasA,TA,1152,0,0,1152,2,6,Typ,0,0,0,0,0,0,0,0,0,6,2008,WD,AdjLand,82000
40,20,RL,8658,Inside,NAmes,Norm,Norm,1Fam,1Story,6,5,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,TA,CBlock,643,0,445,1088,GasA,Ex,1324,0,0,1324,3,6,Typ,2,440,0,138,0,0,0,0,0,12,2006,WD,Abnorml,160000
41,20,RL,16905,Inside,Timber,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,VinylSd,VinylSd,Gd,CBlock,967,0,383,1350,GasA,Gd,1328,0,0,1328,2,5,Typ,1,308,0,104,0,0,0,0,0,7,2007,WD,Normal,170000
42,85,RL,9180,CulDSac,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,1983,1983,Gable,CompShg,HdBoard,HdBoard,TA,CBlock,747,93,0,840,GasA,Gd,884,0,0,884,2,5,Typ,2,504,240,0,0,0,0,0,0,12,2007,WD,Normal,144000
43,20,RL,9200,CulDSac,CollgCr,Norm,Norm,1Fam,1Story,5,6,1975,1980,Hip,CompShg,VinylSd,VinylSd,TA,CBlock,280,491,167,938,GasA,TA,938,0,0,938,3,5,Typ,1,308,145,0,0,0,0,0,0,7,2008,WD,Normal,130250
44,20,RL,7945,Inside,NAmes,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,BrkFace,Wd Sdng,TA,CBlock,179,506,465,1150,GasA,Ex,1150,0,0,1150,3,6,Typ,1,300,0,0,0,0,0,0,0,5,2006,WD,Normal,141000
45,120,RL,7658,Inside,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,TA,PConc,456,0,1296,1752,GasA,Ex,1752,0,0,1752,2,6,Typ,2,576,196,82,0,0,0,0,0,2,2010,WD,Normal,319900
46,50,RL,12822,CulDSac,Mitchel,Norm,Norm,1Fam,1.5Fin,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,TA,PConc,1351,0,83,1434,GasA,Ex,1518,631,0,2149,1,6,Typ,2,670,168,43,0,0,198,0,0,8,2009,WD,Abnorml,239686
47,20,FV,11096,Inside,Somerst,Norm,Norm,1Fam,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,TA,PConc,24,0,1632,1656,GasA,Ex,1656,0,0,1656,3,7,Typ,3,826,0,146,0,0,0,0,0,7,2007,WD,Normal,249700
48,190,RM,4456,Inside,OldTown,Norm,Norm,2fmCon,2Story,4,5,1920,2008,Gable,CompShg,MetalSd,MetalSd,TA,BrkTil,0,0,736,736,GasA,Gd,736,716,0,1452,2,8,Typ,0,0,0,0,102,0,0,0,0,6,2009,New,Partial,113000
49,20,RL,7742,Inside,Sawyer,Norm,Norm,1Fam,1Story,5,7,1966,1966,Gable,CompShg,HdBoard,HdBoard,TA,CBlock,763,0,192,955,GasA,Ex,955,0,0,955,3,6,Typ,1,386,0,0,0,0,0,0,0,1,2007,WD,Normal,127000
50,60,RL,13869,Corner,Gilbert,Norm,Norm,1Fam,2Story,6,6,1997,1997,Gable,CompShg,VinylSd,VinylSd,TA,PConc,182,0,612,794,GasA,Gd,794,676,0,1470,3,6,Typ,2,388,0,75,0,0,0,0,0,7,2007,WD,Normal,177000
51,50,RM,6240,Inside,BrkSide,Norm,Norm,1Fam,1.5Fin,6,6,1934,1950,Gable,CompShg,Wd Sdng,Wd Sdng,TA,PConc,0,0,816,816,GasA,TA,816,0,360,1176,3,6,Typ,2,528,112,0,0,0,0,0,400,9,2006,WD,Normal,114500
52,90,RM,8472,Corner,IDOTRR,RRNn,Norm,Duplex,1Story,5,5,1963,1963,Gable,CompShg,Wd Sdng,Wd Sdng,TA,CBlock,104,712,0,816,GasA,TA,816,0,0,816,2,5,Typ,2,516,106,0,0,0,0,0,0,5,2010,WD,Normal,110000
53,20,RL,50271,Inside,Veenker,Norm,Norm,1Fam,1Story,9,5,1981,1987,Gable,WdShngl,WdShing,Wd Shng,TA,CBlock,1810,0,32,1842,GasA,Gd,1842,0,0,1842,0,5,Typ,3,894,857,72,0,0,0,0,0,11,2006,WD,Normal,385000
54,80,RL,7134,Inside,NAmes,Norm,Norm,1Fam,SLvl,5,5,1955,1955,Gable,CompShg,MetalSd,MetalSd,TA,CBlock,384,0,0,384,GasA,TA,1360,0,0,1360,3,6,Min1,2,572,0,50,0,0,0,0,0,2,2007,WD,Normal,130000
55,20,RL,10175,Inside,NAmes,Norm,Norm,1Fam,1Story,6,5,1964,1964,Gable,CompShg,HdBoard,Plywood,TA,CBlock,490,0,935,1425,GasA,Gd,1425,0,0,1425,3,7,Typ,2,576,0,0,0,407,0,0,0,7,2008,WD,Normal,180500
56,160,FV,2645,Inside,Somerst,Norm,Norm,Twnhs,2Story,8,5,1999,2000,Gable,CompShg,MetalSd,MetalSd,TA,PConc,649,0,321,970,GasA,Ex,983,756,0,1739,3,7,Typ,2,480,115,0,0,0,0,0,0,8,2009,WD,Abnorml,172500
57,60,RL,11645,Corner,CollgCr,Norm,Norm,1Fam,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,TA,PConc,0,0,860,860,GasA,Ex,860,860,0,1720,3,7,Typ,2,565,0,70,0,0,0,0,0,8,2006,WD,Normal,196500
58,60,RL,13682,CulDSac,StoneBr,Norm,Norm,1Fam,2Story,10,5,2006,2006,Hip,CompShg,VinylSd,VinylSd,TA,PConc,0,0,1410,1410,GasA,Ex,1426,1519,0,2945,3,10,Typ,3,641,192,0,37,0,0,0,0,10,2006,New,Partial,438780
59,20,RL,7200,Inside,CollgCr,Norm,Norm,1Fam,1Story,5,7,1972,1972,Gable,CompShg,HdBoard,HdBoard,TA,CBlock,632,0,148,780,GasA,Ex,780,0,0,780,2,4,Typ,1,352,196,0,0,0,0,0,0,1,2008,WD,Normal,124900
60,20,RL,13072,Inside,SawyerW,RRAe,Norm,1Fam,1Story,6,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,TA,PConc,941,0,217,1158,GasA,Ex,1158,0,0,1158,3,5,Typ,2,576,0,50,0,0,0,0,0,5,2006,New,Partial,158000
61,75,RM,7200,Inside,IDOTRR,Norm,Norm,1Fam,2.5Unf,5,7,1920,1996,Gable,CompShg,MetalSd,MetalSd,TA,BrkTil,0,0,530,530,GasA,TA,581,530,0,1111,3,6,Typ,1,288,0,0,144,0,0,0,0,3,2007,WD,Normal,101000
62,120,RL,6442,Inside,NridgHt,Norm,Norm,TwnhsE,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,TA,PConc,24,0,1346,1370,GasA,Ex,1370,0,0,1370,2,6,Typ,2,484,120,49,0,0,0,0,0,10,2007,WD,Normal,202500
63,70,RM,10300,Inside,OldTown,RRAn,Feedr,1Fam,2Story,7,6,1921,1950,Gable,CompShg,Stucco,Stucco,TA,BrkTil,0,0,576,576,GasA,Gd,902,808,0,1710,3,9,Typ,2,480,12,11,64,0,0,0,0,4,2010,WD,Normal,140000
64,60,RL,9375,Inside,CollgCr,Norm,Norm,1Fam,2Story,7,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,TA,PConc,739,0,318,1057,GasA,Ex,1057,977,0,2034,3,8,Typ,2,645,576,36,0,0,0,0,0,2,2009,WD,Normal,219500
65,60,RL,9591,Inside,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,TA,PConc,0,0,1143,1143,GasA,Ex,1143,1330,0,2473,4,9,Typ,3,852,192,151,0,0,0,0,0,10,2007,WD,Normal,317000
66,20,RL,19900,Inside,NAmes,PosA,Norm,1Fam,1Story,7,5,1970,1989,Gable,CompShg,Plywood,Plywood,TA,CBlock,912,0,1035,1947,GasA,TA,2207,0,0,2207,3,7,Min1,2,576,301,0,0,0,0,0,0,7,2010,WD,Normal,180000
67,20,RL,10665,Inside,CollgCr,Norm,Norm,1Fam,1Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,TA,PConc,1013,0,440,1453,GasA,Ex,1479,0,0,1479,3,7,Typ,2,558,144,29,0,0,0,0,0,6,2007,WD,Normal,226000
68,30,RM,4608,Corner,OldTown,Artery,Norm,1Fam,1Story,4,6,1945,1950,Gable,CompShg,MetalSd,MetalSd,Gd,CBlock,0,0,747,747,GasA,TA,747,0,0,747,2,4,Typ,1,220,0,0,0,0,0,0,0,6,2010,WD,Normal,80000
69,50,RL,15593,Corner,ClearCr,Norm,Norm,1Fam,1.5Fin,7,4,1953,1953,Gable,CompShg,BrkFace,AsbShng,TA,CBlock,603,0,701,1304,GasW,TA,1304,983,0,2287,3,7,Typ,2,667,0,21,114,0,0,0,0,7,2006,WD,Normal,225000
70,20,RL,13651,Inside,NAmes,Norm,Norm,1Fam,1Story,7,6,1973,1973,Gable,CompShg,Plywood,Plywood,Gd,CBlock,1880,0,343,2223,GasA,Ex,2223,0,0,2223,3,8,Typ,2,516,300,0,0,0,0,0,0,2,2007,WD,Normal,244000
71,20,RL,7599,Corner,Mitchel,Norm,Norm,1Fam,1Story,4,6,1982,2006,Gable,CompShg,HdBoard,Plywood,TA,CBlock,565,0,280,845,GasA,TA,845,0,0,845,2,4,Typ,2,360,0,0,0,0,0,0,0,6,2007,WD,Normal,129500
72,60,RL,10141,Corner,Gilbert,Norm,Norm,1Fam,2Story,7,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,TA,PConc,0,0,832,832,GasA,Gd,885,833,0,1718,3,7,Typ,2,427,0,94,0,0,291,0,0,12,2009,WD,Normal,185000
73,20,RL,10200,Inside,NAmes,Norm,Norm,1Fam,1Story,5,7,1954,2003,Gable,CompShg,Wd Sdng,Wd Sdng,TA,CBlock,320,362,404,1086,GasA,Gd,1086,0,0,1086,3,6,Typ,2,490,0,0,0,0,0,0,0,5,2010,WD,Normal,144900
74,50,RM,5790,Corner,OldTown,Norm,Norm,1Fam,2Story,3,6,1915,1950,Gambrel,CompShg,VinylSd,VinylSd,Gd,CBlock,0,0,840,840,GasA,Gd,840,765,0,1605,3,8,Typ,1,379,0,0,202,0,0,0,0,5,2010,WD,Normal,107400
75,180,RM,1596,Inside,MeadowV,Norm,Norm,Twnhs,SLvl,4,5,1973,1973,Gable,CompShg,CemntBd,CmentBd,TA,CBlock,462,0,0,462,GasA,TA,526,462,0,988,2,5,Typ,1,297,120,101,0,0,0,0,0,11,2009,WD,Normal,91000
76,20,RL,8475,Inside,NAmes,Norm,Norm,1Fam,1Story,4,7,1956,1956,Gable,CompShg,VinylSd,VinylSd,TA,CBlock,228,0,724,952,GasA,Ex,952,0,0,952,2,4,Typ,1,283,0,0,0,0,0,0,0,4,2008,WD,Normal,135750
77,50,RM,8635,Inside,BrkSide,Norm,Norm,1Fam,1.5Fin,5,5,1948,2001,Gable,CompShg,Wd Sdng,Wd Sdng,TA,CBlock,336,41,295,672,GasA,TA,1072,213,0,1285,2,6,Min1,1,240,0,0,0,0,0,0,0,1,2008,WD,Normal,127000
78,90,RL,10778,Inside,Sawyer,Norm,Norm,Duplex,1Story,4,5,1968,1968,Hip,CompShg,HdBoard,HdBoard,TA,CBlock,0,0,1768,1768,GasA,TA,1768,0,0,1768,4,8,Typ,0,0,0,0,0,0,0,0,0,4,2010,WD,Normal,136500
79,50,RM,10440,Corner,OldTown,Norm,Norm,1Fam,2Story,5,6,1910,1981,Gable,CompShg,Wd Sdng,Wd Sdng,TA,PConc,0,0,440,440,GasA,Gd,682,548,0,1230,2,5,Typ,2,440,74,0,128,0,0,0,0,5,2009,WD,Normal,110000
80,60,RL,13000,Corner,NAmes,Norm,Norm,1Fam,2Story,6,6,1968,1968,Gable,CompShg,VinylSd,VinylSd,Gd,CBlock,448,0,448,896,GasA,TA,1182,960,0,2142,4,8,Typ,1,509,0,72,0,0,252,0,0,6,2009,WD,Normal,193500
81,120,RM,4500,FR2,Mitchel,Norm,Norm,TwnhsE,1Story,6,5,1998,1998,Hip,CompShg,VinylSd,VinylSd,Gd,PConc,1201,0,36,1237,GasA,Ex,1337,0,0,1337,2,5,Typ,2,405,0,199,0,0,0,0,0,3,2006,WD,Normal,153500
82,20,RL,10206,Inside,Somerst,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,TA,PConc,33,0,1530,1563,GasA,Ex,1563,0,0,1563,3,6,Typ,3,758,144,99,0,0,0,0,0,10,2008,WD,Normal,245000
83,20,RL,8892,Inside,NAmes,Norm,Norm,1Fam,1Story,5,5,1960,1960,Gable,CompShg,MetalSd,MetalSd,TA,CBlock,0,0,1065,1065,GasA,Gd,1065,0,0,1065,3,6,Typ,2,461,74,0,0,0,0,0,0,7,2007,COD,Normal,126500
84,80,RL,8530,Inside,Gilbert,Norm,Norm,1Fam,SLvl,7,5,1995,1996,Gable,CompShg,HdBoard,HdBoard,TA,PConc,0,0,384,384,GasA,Gd,804,670,0,1474,3,7,Typ,2,400,120,72,0,0,0,0,700,5,2009,WD,Normal,168500
85,60,RL,16059,Corner,NoRidge,Norm,Norm,1Fam,2Story,8,5,1991,1992,Hip,CompShg,HdBoard,HdBoard,TA,CBlock,0,0,1288,1288,GasA,Ex,1301,1116,0,2417,4,9,Typ,2,462,127,82,0,0,0,0,0,4,2006,WD,Normal,260000
86,60,RL,11911,Inside,Gilbert,Norm,Norm,1Fam,2Story,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,TA,PConc,0,0,684,684,GasA,Ex,684,876,0,1560,3,6,Typ,2,400,100,38,0,0,0,0,0,3,2009,WD,Normal,174000
87,160,FV,3951,Corner,Somerst,Norm,Norm,TwnhsE,2Story,6,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,TA,PConc,0,0,612,612,GasA,Ex,612,612,0,1224,2,4,Typ,2,528,0,234,0,0,0,0,0,6,2009,New,Partial,164500
88,50,C (all),8470,Corner,IDOTRR,Feedr,Feedr,1Fam,1.5Fin,3,2,1915,1982,Hip,CompShg,Plywood,Plywood,Fa,CBlock,0,0,1013,1013,GasA,TA,1013,0,513,1526,2,6,Typ,0,0,0,0,156,0,0,0,0,10,2009,ConLD,Abnorml,85000
89,20,RL,8070,Inside,CollgCr,Norm,Norm,1Fam,1Story,4,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,TA,PConc,588,0,402,990,GasA,Ex,990,0,0,990,3,5,Typ,0,0,0,0,0,0,0,0,0,8,2007,WD,Normal,123600
90,20,RL,7200,Inside,NAmes,Norm,Norm,1Fam,1Story,4,5,1950,1950,Gable,CompShg,BrkFace,Wd Sdng,TA,Slab,0,0,0,0,GasA,TA,1040,0,0,1040,2,4,Typ,2,420,0,29,0,0,0,0,0,7,2006,WD,Normal,109900
91,20,RL,8500,Inside,NAmes,Norm,Norm,1Fam,1Story,5,3,1961,1961,Hip,CompShg,HdBoard,HdBoard,TA,CBlock,600,0,635,1235,GasA,TA,1235,0,0,1235,2,6,Typ,2,480,0,0,0,0,0,0,0,12,2006,WD,Abnorml,98600
