Id,MSSubClass,MSZoning,LotArea,LotConfig,OverallQual,OverallCond,YearBuilt,YearRemodAdd,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BedroomAbvGr,TotRmsAbvGrd,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SalePrice
14,20,RL,10920,Corner,6,5,1960,1960,733,0,520,1253,1253,0,0,1253,2,5,1,352,0,213,176,0,0,0,0,5,2008,WD,157000
15,45,RM,6120,Corner,7,8,1929,2001,0,0,832,832,854,0,0,854,2,5,2,576,48,112,0,0,0,0,0,7,2007,WD,132000
16,20,RL,11241,CulDSac,6,7,1970,1970,578,0,426,1004,1004,0,0,1004,2,5,2,480,0,0,0,0,0,0,700,3,2010,WD,149000
17,90,RL,10791,Inside,4,5,1967,1967,0,0,0,0,1296,0,0,1296,2,6,2,516,0,0,0,0,0,0,500,10,2006,WD,90000
18,20,RL,13695,Inside,5,5,2004,2004,646,0,468,1114,1114,0,0,1114,3,6,2,576,0,102,0,0,0,0,0,6,2008,WD,159000
19,20,RL,7560,Inside,5,6,1958,1965,504,0,525,1029,1339,0,0,1339,3,6,1,294,0,0,0,0,0,0,0,5,2009,COD,139000
20,60,RL,14215,Corner,8,5,2005,2006,0,0,1158,1158,1158,1218,0,2376,4,9,3,853,240,154,0,0,0,0,0,11,2006,New,325300
21,45,RM,7449,Inside,7,7,1930,1950,0,0,637,637,1108,0,0,1108,3,6,1,280,0,0,205,0,0,0,0,6,2007,WD,139400
22,20,RL,9742,Inside,8,5,2002,2002,0,0,1777,1777,1795,0,0,1795,3,7,2,534,171,159,0,0,0,0,0,9,2008,WD,230000
23,120,RM,4224,Inside,5,7,1976,1976,840,0,200,1040,1060,0,0,1060,3,6,2,572,100,110,0,0,0,0,0,6,2007,WD,129900
24,20,RL,8246,Inside,5,8,1968,2001,188,668,204,1060,1060,0,0,1060,3,6,1,270,406,90,0,0,0,0,0,5,2010,WD,154000
25,20,RL,14230,Corner,8,5,2007,2007,0,0,1566,1566,1600,0,0,1600,3,7,3,890,0,56,0,0,0,0,0,7,2009,WD,256300
26,20,RL,7200,Corner,5,7,1951,2000,234,486,180,900,900,0,0,900,3,5,2,576,222,32,0,0,0,0,0,5,2010,WD,134800
27,20,RL,11478,Inside,8,5,2007,2008,1218,0,486,1704,1704,0,0,1704,3,7,3,772,0,50,0,0,0,0,0,5,2010,WD,306000
28,20,RL,16321,CulDSac,5,6,1957,1997,1277,0,207,1484,1600,0,0,1600,2,6,1,319,288,258,0,0,0,0,0,12,2006,WD,207500
29,30,RM,6324,Inside,4,6,1927,1950,0,0,520,520,520,0,0,520,1,4,1,240,49,0,87,0,0,0,0,5,2008,WD,68500
30,70,C (all),8500,Inside,4,4,1920,1950,0,0,649,649,649,668,0,1317,3,6,1,250,0,54,172,0,0,0,0,7,2008,WD,40000
31,20,RL,8544,CulDSac,5,6,1966,2006,0,0,1228,1228,1228,0,0,1228,3,6,1,271,0,65,0,0,0,0,0,6,2008,WD,149350
32,20,RL,11049,Corner,8,5,2007,2007,0,0,1234,1234,1234,0,0,1234,3,7,2,484,0,30,0,0,0,0,0,1,2008,WD,179900
33,20,RL,10552,Inside,5,5,1959,1959,1018,0,380,1398,1700,0,0,1700,4,6,2,447,0,38,0,0,0,0,0,4,2010,WD,165500
34,120,RL,7313,Inside,9,5,2005,2005,1153,0,408,1561,1561,0,0,1561,2,6,2,556,203,47,0,0,0,0,0,8,2007,WD,277500
35,60,RL,13418,Inside,8,5,2004,2005,0,0,1117,1117,1132,1320,0,2452,4,9,3,691,113,32,0,0,0,0,0,9,2006,WD,309000
36,20,RL,10859,Corner,5,5,1994,1995,0,0,1097,1097,1097,0,0,1097,3,6,2,672,392,64,0,0,0,0,0,6,2009,WD,145000
37,20,RL,8532,Inside,5,6,1954,1990,1213,0,84,1297,1297,0,0,1297,3,5,2,498,0,0,0,0,0,0,0,10,2009,WD,153000
38,20,RL,7922,Inside,5,7,1953,2007,731,0,326,1057,1057,0,0,1057,3,5,1,246,0,52,0,0,0,0,0,1,2010,WD,109000
39,90,RL,6040,Inside,4,5,1955,1955,0,0,0,0,1152,0,0,1152,2,6,0,0,0,0,0,0,0,0,0,6,2008,WD,82000
40,20,RL,8658,Inside,6,5,1965,1965,643,0,445,1088,1324,0,0,1324,3,6,2,440,0,138,0,0,0,0,0,12,2006,WD,160000
41,20,RL,16905,Inside,5,6,1959,1959,967,0,383,1350,1328,0,0,1328,2,5,1,308,0,104,0,0,0,0,0,7,2007,WD,170000
42,85,RL,9180,CulDSac,5,7,1983,1983,747,93,0,840,884,0,0,884,2,5,2,504,240,0,0,0,0,0,0,12,2007,WD,144000
43,20,RL,9200,CulDSac,5,6,1975,1980,280,491,167,938,938,0,0,938,3,5,1,308,145,0,0,0,0,0,0,7,2008,WD,130250
44,20,RL,7945,Inside,5,6,1959,1959,179,506,465,1150,1150,0,0,1150,3,6,1,300,0,0,0,0,0,0,0,5,2006,WD,141000
45,120,RL,7658,Inside,9,5,2005,2005,456,0,1296,1752,1752,0,0,1752,2,6,2,576,196,82,0,0,0,0,0,2,2010,WD,319900
46,50,RL,12822,CulDSac,7,5,2003,2003,1351,0,83,1434,1518,631,0,2149,1,6,2,670,168,43,0,0,198,0,0,8,2009,WD,239686
47,20,FV,11096,Inside,8,5,2006,2006,24,0,1632,1656,1656,0,0,1656,3,7,3,826,0,146,0,0,0,0,0,7,2007,WD,249700
48,190,RM,4456,Inside,4,5,1920,2008,0,0,736,736,736,716,0,1452,2,8,0,0,0,0,102,0,0,0,0,6,2009,New,113000
49,20,RL,7742,Inside,5,7,1966,1966,763,0,192,955,955,0,0,955,3,6,1,386,0,0,0,0,0,0,0,1,2007,WD,127000
50,60,RL,13869,Corner,6,6,1997,1997,182,0,612,794,794,676,0,1470,3,6,2,388,0,75,0,0,0,0,0,7,2007,WD,177000
51,50,RM,6240,Inside,6,6,1934,1950,0,0,816,816,816,0,360,1176,3,6,2,528,112,0,0,0,0,0,400,9,2006,WD,114500
52,90,RM,8472,Corner,5,5,1963,1963,104,712,0,816,816,0,0,816,2,5,2,516,106,0,0,0,0,0,0,5,2010,WD,110000
53,20,RL,50271,Inside,9,5,1981,1987,1810,0,32,1842,1842,0,0,1842,0,5,3,894,857,72,0,0,0,0,0,11,2006,WD,385000
54,80,RL,7134,Inside,5,5,1955,1955,384,0,0,384,1360,0,0,1360,3,6,2,572,0,50,0,0,0,0,0,2,2007,WD,130000
55,20,RL,10175,Inside,6,5,1964,1964,490,0,935,1425,1425,0,0,1425,3,7,2,576,0,0,0,407,0,0,0,7,2008,WD,180500
56,160,FV,2645,Inside,8,5,1999,2000,649,0,321,970,983,756,0,1739,3,7,2,480,115,0,0,0,0,0,0,8,2009,WD,172500
57,60,RL,11645,Corner,7,5,2004,2004,0,0,860,860,860,860,0,1720,3,7,2,565,0,70,0,0,0,0,0,8,2006,WD,196500
58,60,RL,13682,CulDSac,10,5,2006,2006,0,0,1410,1410,1426,1519,0,2945,3,10,3,641,192,0,37,0,0,0,0,10,2006,New,438780
59,20,RL,7200,Inside,5,7,1972,1972,632,0,148,780,780,0,0,780,2,4,1,352,196,0,0,0,0,0,0,1,2008,WD,124900
60,20,RL,13072,Inside,6,5,2004,2004,941,0,217,1158,1158,0,0,1158,3,5,2,576,0,50,0,0,0,0,0,5,2006,New,158000
61,75,RM,7200,Inside,5,7,1920,1996,0,0,530,530,581,530,0,1111,3,6,1,288,0,0,144,0,0,0,0,3,2007,WD,101000
62,120,RL,6442,Inside,8,5,2006,2006,24,0,1346,1370,1370,0,0,1370,2,6,2,484,120,49,0,0,0,0,0,10,2007,WD,202500
63,70,RM,10300,Inside,7,6,1921,1950,0,0,576,576,902,808,0,1710,3,9,2,480,12,11,64,0,0,0,0,4,2010,WD,140000
64,60,RL,9375,Inside,7,5,1997,1998,739,0,318,1057,1057,977,0,2034,3,8,2,645,576,36,0,0,0,0,0,2,2009,WD,219500
65,60,RL,9591,Inside,8,5,2004,2005,0,0,1143,1143,1143,1330,0,2473,4,9,3,852,192,151,0,0,0,0,0,10,2007,WD,317000
66,20,RL,19900,Inside,7,5,1970,1989,912,0,1035,1947,2207,0,0,2207,3,7,2,576,301,0,0,0,0,0,0,7,2010,WD,180000
67,20,RL,10665,Inside,7,5,2003,2003,1013,0,440,1453,1479,0,0,1479,3,7,2,558,144,29,0,0,0,0,0,6,2007,WD,226000
68,30,RM,4608,Corner,4,6,1945,1950,0,0,747,747,747,0,0,747,2,4,1,220,0,0,0,0,0,0,0,6,2010,WD,80000
69,50,RL,15593,Corner,7,4,1953,1953,603,0,701,1304,1304,983,0,2287,3,7,2,667,0,21,114,0,0,0,0,7,2006,WD,225000
70,20,RL,13651,Inside,7,6,1973,1973,1880,0,343,2223,2223,0,0,2223,3,8,2,516,300,0,0,0,0,0,0,2,2007,WD,244000
71,20,RL,7599,Corner,4,6,1982,2006,565,0,280,845,845,0,0,845,2,4,2,360,0,0,0,0,0,0,0,6,2007,WD,129500
72,60,RL,10141,Corner,7,5,1998,1998,0,0,832,832,885,833,0,1718,3,7,2,427,0,94,0,0,291,0,0,12,2009,WD,185000
73,20,RL,10200,Inside,5,7,1954,2003,320,362,404,1086,1086,0,0,1086,3,6,2,490,0,0,0,0,0,0,0,5,2010,WD,144900
74,50,RM,5790,Corner,3,6,1915,1950,0,0,840,840,840,765,0,1605,3,8,1,379,0,0,202,0,0,0,0,5,2010,WD,107400
75,180,RM,1596,Inside,4,5,1973,1973,462,0,0,462,526,462,0,988,2,5,1,297,120,101,0,0,0,0,0,11,2009,WD,91000
76,20,RL,8475,Inside,4,7,1956,1956,228,0,724,952,952,0,0,952,2,4,1,283,0,0,0,0,0,0,0,4,2008,WD,135750
77,50,RM,8635,Inside,5,5,1948,2001,336,41,295,672,1072,213,0,1285,2,6,1,240,0,0,0,0,0,0,0,1,2008,WD,127000
78,90,RL,10778,Inside,4,5,1968,1968,0,0,1768,1768,1768,0,0,1768,4,8,0,0,0,0,0,0,0,0,0,4,2010,WD,136500
79,50,RM,10440,Corner,5,6,1910,1981,0,0,440,440,682,548,0,1230,2,5,2,440,74,0,128,0,0,0,0,5,2009,WD,110000
80,60,RL,13000,Corner,6,6,1968,1968,448,0,448,896,1182,960,0,2142,4,8,1,509,0,72,0,0,252,0,0,6,2009,WD,193500
81,120,RM,4500,FR2,6,5,1998,1998,1201,0,36,1237,1337,0,0,1337,2,5,2,405,0,199,0,0,0,0,0,3,2006,WD,153500
82,20,RL,10206,Inside,8,5,2007,2007,33,0,1530,1563,1563,0,0,1563,3,6,3,758,144,99,0,0,0,0,0,10,2008,WD,245000
83,20,RL,8892,Inside,5,5,1960,1960,0,0,1065,1065,1065,0,0,1065,3,6,2,461,74,0,0,0,0,0,0,7,2007,COD,126500
84,80,RL,8530,Inside,7,5,1995,1996,0,0,384,384,804,670,0,1474,3,7,2,400,120,72,0,0,0,0,700,5,2009,WD,168500
85,60,RL,16059,Corner,8,5,1991,1992,0,0,1288,1288,1301,1116,0,2417,4,9,2,462,127,82,0,0,0,0,0,4,2006,WD,260000
86,60,RL,11911,Inside,6,5,2005,2005,0,0,684,684,684,876,0,1560,3,6,2,400,100,38,0,0,0,0,0,3,2009,WD,174000
87,160,FV,3951,Corner,6,5,2009,2009,0,0,612,612,612,612,0,1224,2,4,2,528,0,234,0,0,0,0,0,6,2009,New,164500
88,50,C (all),8470,Corner,3,2,1915,1982,0,0,1013,1013,1013,0,513,1526,2,6,0,0,0,0,156,0,0,0,0,10,2009,ConLD,85000
89,20,RL,8070,Inside,4,5,1994,1995,588,0,402,990,990,0,0,990,3,5,0,0,0,0,0,0,0,0,0,8,2007,WD,123600
90,20,RL,7200,Inside,4,5,1950,1950,0,0,0,0,1040,0,0,1040,2,4,2,420,0,29,0,0,0,0,0,7,2006,WD,109900
91,20,RL,8500,Inside,5,3,1961,1961,600,0,635,1235,1235,0,0,1235,2,6,2,480,0,0,0,0,0,0,0,12,2006,WD,98600
92,30,RL,13360,Inside,5,7,1921,2006,713,0,163,876,964,0,0,964,2,5,2,432,0,0,44,0,0,0,0,8,2009,WD,163500
93,190,C (all),7200,Corner,6,6,1910,1998,1046,0,168,1214,1260,1031,0,2291,4,9,2,506,0,0,0,0,99,0,0,11,2007,WD,133900
94,60,RL,9337,Inside,6,5,1997,1997,648,0,176,824,905,881,0,1786,3,7,2,684,0,162,0,0,0,0,0,5,2007,WD,204750
95,60,RL,9765,Corner,6,8,1993,1993,310,0,370,680,680,790,0,1470,3,6,2,420,232,63,0,0,0,0,480,4,2009,WD,185000
96,20,RL,10264,Inside,7,5,1999,1999,1162,0,426,1588,1588,0,0,1588,3,6,2,472,158,29,0,0,0,0,0,8,2006,WD,214000
97,20,RL,10921,Inside,4,5,1965,1965,520,0,440,960,960,0,0,960,3,6,1,432,120,0,0,0,0,0,0,5,2007,WD,94750
98,30,RL,10625,Corner,5,5,1920,1950,108,0,350,458,835,0,0,835,2,5,1,366,0,0,77,0,0,0,400,5,2010,COD,83000
99,20,RL,9320,Inside,4,5,1959,1959,569,0,381,950,1225,0,0,1225,3,6,0,0,352,0,0,0,0,0,400,1,2010,WD,128950
100,20,RL,10603,Inside,6,7,1977,2001,1200,0,410,1610,1610,0,0,1610,3,6,2,480,168,68,0,0,0,0,0,2,2010,WD,205000
101,60,RL,9206,Inside,6,5,1985,1985,0,0,741,741,977,755,0,1732,3,7,2,476,192,46,0,0,0,0,0,6,2010,WD,178000
102,90,RL,7018,Inside,5,5,1979,1979,0,0,0,0,1535,0,0,1535,4,8,2,410,0,0,0,0,0,0,0,6,2009,WD,118964
103,20,RL,10402,Corner,7,5,2009,2009,0,0,1226,1226,1226,0,0,1226,3,6,3,740,0,36,0,0,0,0,0,5,2010,WD,198900
104,50,RM,7758,Corner,7,4,1931,1950,224,0,816,1040,1226,592,0,1818,4,7,1,240,0,0,0,0,184,0,0,6,2007,WD,169500
105,60,FV,9375,Inside,8,5,2003,2004,0,0,1053,1053,1053,939,0,1992,3,9,2,648,140,45,0,0,0,0,0,8,2008,WD,250000
106,30,RM,10800,Inside,4,7,1885,1995,0,0,641,641,1047,0,0,1047,2,6,1,273,0,0,0,0,0,0,450,8,2007,WD,100000
107,20,RM,6000,Inside,5,5,1948,1950,104,169,516,789,789,0,0,789,2,5,1,250,0,0,0,0,0,0,0,4,2008,WD,115000
108,50,RM,8500,Corner,5,7,1919,2005,0,0,793,793,997,520,0,1517,3,7,0,0,0,0,144,0,0,0,0,8,2007,WD,115000
109,20,RL,11751,Inside,6,6,1977,1977,705,0,1139,1844,1844,0,0,1844,3,7,2,546,0,122,0,0,0,0,0,1,2010,COD,190000
110,50,RL,9525,Inside,6,4,1954,1972,444,0,550,994,1216,639,0,1855,4,7,1,325,182,0,0,0,0,0,0,10,2006,WD,136900
111,80,RL,7750,Inside,7,5,2000,2000,250,0,134,384,774,656,0,1430,3,7,2,400,180,0,0,0,0,0,0,4,2010,WD,180000
112,60,RL,9965,Inside,7,5,2007,2007,984,0,280,1264,1282,1414,0,2696,4,10,3,792,120,184,0,0,168,0,0,10,2007,New,383970
113,20,RL,21000,Corner,6,5,1953,1953,35,869,905,1809,2259,0,0,2259,3,7,2,450,166,120,192,0,0,0,0,10,2007,COD,217000
114,70,RL,7259,Inside,6,8,1945,2002,774,150,104,1028,1436,884,0,2320,3,9,1,180,224,0,0,0,0,0,0,7,2007,WD,259500
115,160,FV,3230,Corner,6,5,1999,1999,419,0,310,729,729,729,0,1458,2,5,2,440,0,32,0,0,0,0,0,6,2007,WD,176000
116,20,RL,11616,Inside,5,5,1962,1962,170,670,252,1092,1092,0,0,1092,3,6,1,288,0,20,144,0,0,0,0,9,2009,WD,139000
117,20,RL,8536,Corner,5,5,2006,2007,0,0,1125,1125,1125,0,0,1125,2,5,2,430,80,64,0,0,0,0,0,4,2007,New,155000
118,60,RL,12376,Corner,7,5,1990,1990,1470,0,203,1673,1699,1523,0,3222,5,11,3,594,367,0,0,0,0,0,0,5,2010,WD,320000
119,60,RL,8461,Inside,6,5,2005,2006,0,0,728,728,728,728,0,1456,3,8,2,390,0,24,0,0,0,0,0,7,2006,New,163990
120,80,RL,21453,CulDSac,6,5,1969,1969,938,0,0,938,988,0,0,988,1,4,2,540,0,130,0,130,0,0,0,10,2006,WD,180000
121,50,RM,6060,Inside,4,5,1939,1950,0,0,732,732,772,351,0,1123,3,4,1,264,0,0,140,0,0,0,0,6,2007,WD,100000
122,20,RL,9464,Corner,6,7,1958,1958,570,0,510,1080,1080,0,0,1080,3,5,1,288,0,0,0,0,130,0,0,6,2008,WD,136000
123,120,RL,7892,Inside,6,5,1993,1993,300,0,899,1199,1199,0,0,1199,2,5,2,530,0,63,0,0,0,0,0,3,2008,WD,153900
124,20,RL,17043,CulDSac,6,5,1979,1998,0,0,1362,1362,1586,0,0,1586,3,7,2,435,192,0,0,0,0,0,0,1,2009,WD,181000
125,190,RM,6780,Inside,6,8,1935,1982,490,0,30,520,520,0,234,754,2,5,0,0,53,0,0,0,0,0,0,6,2006,WD,84500
126,120,RL,4928,Inside,6,5,1976,1976,120,0,958,1078,958,0,0,958,2,5,2,440,0,205,0,0,0,0,0,2,2007,WD,128000
127,45,RM,4388,Inside,5,7,1930,1950,116,0,556,672,840,0,0,840,3,5,0,0,0,0,0,0,0,0,0,6,2007,WD,87000
128,60,RL,7590,Inside,6,5,1966,1966,512,0,148,660,660,688,0,1348,3,6,2,453,188,108,0,0,0,0,0,7,2006,WD,155000
129,20,RL,8973,Inside,5,7,1958,1991,567,28,413,1008,1053,0,0,1053,3,6,2,750,0,80,0,180,0,0,0,7,2006,WD,150000
130,60,RL,14200,Corner,7,6,1966,1966,445,0,479,924,1216,941,0,2157,4,8,2,487,105,66,0,0,0,0,0,5,2006,WD,226000
131,60,RL,12224,Corner,6,5,2000,2000,695,0,297,992,1022,1032,0,2054,3,7,2,390,24,48,0,0,0,0,0,7,2009,WD,244000
132,20,RL,7388,Corner,5,6,1959,2002,405,0,658,1063,1327,0,0,1327,3,7,2,624,0,0,0,0,0,0,0,7,2007,WD,150750
133,20,RL,6853,Inside,8,5,2001,2002,1005,0,262,1267,1296,0,0,1296,2,6,2,471,192,25,0,0,0,0,0,6,2009,WD,220000
134,20,RL,10335,Inside,5,6,1968,1993,570,0,891,1461,1721,0,0,1721,3,7,2,440,0,96,180,0,0,0,0,7,2006,WD,180000
135,20,RL,10400,Inside,7,6,1970,1970,0,0,1304,1304,1682,0,0,1682,3,7,2,530,98,0,0,0,0,0,0,5,2008,WD,174000
136,20,RL,10355,Corner,5,5,1967,1967,695,0,519,1214,1214,0,0,1214,3,5,1,318,0,111,0,0,0,0,0,7,2007,WD,143000
137,90,RL,11070,Inside,7,5,1988,1989,0,0,1907,1907,1959,0,0,1959,5,9,3,766,0,0,0,0,0,0,0,7,2006,WD,171000
138,60,RL,9066,Inside,8,5,1999,2000,668,0,336,1004,1004,848,0,1852,3,7,3,660,224,106,0,0,0,0,0,12,2008,WD,230000
139,60,RL,15426,Inside,6,5,1997,1997,821,0,107,928,928,836,0,1764,3,7,2,470,276,99,0,0,0,0,0,8,2009,WD,231500
140,20,RL,10500,FR2,4,5,1971,1971,432,0,432,864,864,0,0,864,3,5,0,0,0,0,0,0,0,0,0,4,2010,ConLI,115000
141,20,RL,11645,Inside,7,5,2005,2005,1300,0,434,1734,1734,0,0,1734,3,7,2,660,160,24,0,0,0,0,0,1,2006,WD,260000
142,50,RL,8520,Corner,5,4,1952,1952,507,0,403,910,910,475,0,1385,4,6,2,720,0,0,0,0,0,0,0,6,2010,WD,166000
143,20,RL,10335,Inside,7,5,1999,1999,679,0,811,1490,1501,0,0,1501,3,6,2,577,144,29,0,0,0,0,0,6,2009,WD,204000
144,90,RM,9100,Inside,5,5,1963,1963,1332,0,396,1728,1728,0,0,1728,6,10,2,504,0,0,0,0,0,0,0,11,2006,ConLI,125000
145,160,RM,2522,Inside,6,5,2004,2006,0,0,970,970,970,739,0,1709,3,7,2,380,0,40,0,0,0,0,0,4,2006,WD,130000
146,30,RM,6120,Corner,5,7,1931,1993,209,0,506,715,875,0,0,875,2,5,1,180,48,0,0,0,0,0,0,11,2009,WD,105000
147,60,RL,9505,CulDSac,7,5,2001,2001,0,0,884,884,884,1151,0,2035,3,8,2,434,144,48,0,0,0,0,0,5,2010,WD,222500
148,20,RL,7500,Inside,7,5,2004,2005,680,0,400,1080,1080,0,0,1080,3,6,0,0,0,0,0,0,0,0,0,4,2008,WD,141000
149,50,RM,6240,Inside,5,4,1936,1950,0,0,896,896,896,448,0,1344,3,7,1,240,200,114,0,0,0,0,0,4,2006,WD,115000
150,20,RL,10356,Corner,5,6,1975,1975,716,0,253,969,969,0,0,969,3,5,2,440,0,0,0,0,0,0,0,1,2007,WD,122000
151,20,RL,13891,Inside,8,5,2007,2008,1400,0,310,1710,1710,0,0,1710,2,6,3,866,0,102,0,0,0,0,0,1,2008,New,372402
152,60,RL,14803,CulDSac,6,5,1971,1971,416,0,409,825,1097,896,0,1993,4,8,2,495,0,66,0,0,0,0,0,6,2006,WD,190000
153,20,RL,13500,Inside,6,7,1960,1975,429,1080,93,1602,1252,0,0,1252,1,4,2,564,409,0,0,0,0,0,0,3,2008,WD,235000
154,30,RM,11340,Corner,6,5,1923,1950,0,0,1200,1200,1200,0,0,1200,4,7,1,312,0,0,228,0,0,0,0,3,2006,WD,125000
155,50,RL,9600,Corner,6,5,1924,1950,0,0,572,572,572,524,0,1096,2,5,0,0,0,8,128,0,0,0,0,4,2008,WD,79000
156,20,RL,7200,Inside,5,7,1950,1950,0,0,0,0,1040,0,0,1040,2,5,2,625,0,0,0,0,0,0,0,6,2006,WD,109500
157,60,RL,12003,Corner,8,5,2009,2010,0,0,774,774,774,1194,0,1968,4,8,3,680,0,75,0,0,0,0,0,5,2010,New,269500
158,60,FV,12552,Corner,7,5,2004,2005,222,0,769,991,991,956,0,1947,3,8,2,678,0,136,0,0,0,0,0,5,2010,WD,254900
159,60,RL,19378,Corner,7,5,2005,2006,57,0,1335,1392,1392,1070,0,2462,4,9,2,576,239,132,0,168,0,0,0,3,2006,New,320000
160,20,RL,11120,CulDSac,6,6,1984,1984,660,0,572,1232,1232,0,0,1232,3,6,2,516,0,0,0,0,0,0,0,6,2008,WD,162500
161,60,RL,13688,Inside,9,5,2003,2004,1016,0,556,1572,1572,1096,0,2668,3,10,3,726,400,0,0,0,0,0,0,3,2008,WD,412500
162,20,RL,12182,Corner,7,5,2005,2005,1201,0,340,1541,1541,0,0,1541,3,7,2,532,0,70,0,0,0,0,0,5,2010,New,220000
163,45,RL,5500,Inside,4,6,1956,1956,0,0,882,882,882,0,0,882,1,4,0,0,0,0,0,0,0,0,0,4,2007,WD,103200
164,40,RM,5400,Corner,6,7,1926,2004,370,0,779,1149,1149,467,0,1616,3,5,1,216,0,0,183,0,0,0,0,10,2007,WD,152000
165,190,RL,10106,Inside,5,7,1940,1999,351,181,112,644,808,547,0,1355,4,6,0,0,140,0,0,0,0,0,0,9,2008,WD,127500
166,20,RL,10708,Inside,5,5,1955,1993,379,768,470,1617,1867,0,0,1867,2,7,1,303,476,0,0,0,142,0,0,11,2009,COD,190000
167,60,RL,10562,Inside,8,5,2007,2007,1288,0,294,1582,1610,551,0,2161,3,8,3,789,178,120,0,0,0,0,0,11,2007,New,325624
168,60,RL,8244,Inside,7,5,2004,2004,0,0,840,840,840,880,0,1720,3,7,2,440,100,48,0,0,0,0,0,5,2007,WD,183500
169,20,RL,16669,Corner,8,6,1981,1981,0,0,1686,1686,1707,0,0,1707,2,6,2,511,574,64,0,0,0,0,0,1,2006,WD,228000
170,50,RM,12358,Inside,5,6,1941,1950,360,0,360,720,854,0,528,1382,2,7,2,660,237,0,0,0,0,0,0,5,2007,WD,128500
171,20,RL,31770,Corner,6,5,1960,1960,639,0,441,1080,1656,0,0,1656,3,7,2,528,210,62,0,0,0,0,0,5,2010,WD,215000
172,160,RL,5306,Inside,7,7,1987,1987,495,215,354,1064,1064,703,0,1767,2,5,2,504,441,35,0,0,0,0,0,6,2006,WD,239000
173,20,RL,10197,Inside,6,5,1961,1961,288,374,700,1362,1362,0,0,1362,3,6,2,504,0,20,0,0,0,0,0,6,2008,COD,163000
174,20,RL,12416,Inside,6,5,1986,1986,1398,208,0,1606,1651,0,0,1651,3,7,2,616,192,0,0,0,0,0,0,11,2008,WD,184000
175,20,RL,12615,Corner,6,7,1950,2001,477,0,725,1202,2158,0,0,2158,4,7,2,576,0,29,39,0,0,0,0,6,2007,WD,243000
176,60,RL,10029,Corner,6,5,1988,1989,831,0,320,1151,1164,896,0,2060,4,8,2,521,0,228,0,0,192,0,0,9,2007,WD,211000
177,50,RL,13650,Inside,5,5,1958,1958,57,441,554,1052,1252,668,0,1920,4,8,2,451,0,0,0,0,0,0,0,7,2006,WD,172500
178,20,RL,17423,CulDSac,9,5,2008,2009,1904,0,312,2216,2234,0,0,2234,1,9,3,1166,0,60,0,0,0,0,0,7,2009,New,501837
